Fecha;Temperatura_Media
2023-02-04;7,3545833
2023-02-05;5,1295834
2023-02-06;3,962917
2023-02-07;5,515
2023-02-08;5,34
2023-02-09;4,35875
2023-02-10;3,89625
2023-02-11;4,7400002
2023-02-12;5,1170835
2023-02-13;6,2400002
2023-02-14;7,550417
2023-02-15;7,1733327
2023-02-16;7,5129166
2023-02-17;8,398334
2023-02-18;11,415
2023-02-19;12,348334
2023-02-20;10,921249
2023-02-21;10,2775
2023-02-22;6,890001
2023-02-23;4,0358334
2023-02-24;3,25875
2023-02-25;4,0254173
2023-02-26;2,0608332
2023-02-27;1,8441666
2023-02-28;1,43375
2023-03-01;3,1733332
2023-03-02;4,52125
2023-03-03;5,835833
2023-03-04;4,787917
2023-03-05;8,179583
2023-03-06;10,560833
2023-03-07;12,573333
2023-03-08;13,277501
2023-03-09;12,550418
2023-03-10;14,110833
2023-03-11;15,264999
2023-03-12;14,081666
2023-03-13;11,704585
2023-03-14;12,040002
2023-03-15;14,587918
2023-03-16;13,477502
2023-03-17;11,017083
2023-03-18;11,88375
2023-03-19;12,49625
2023-03-20;13,719167
2023-03-21;14,335834
2023-03-22;15,05875
2023-03-23;13,610833
2023-03-24;14,115001
2023-03-25;14,794169
2023-03-26;12,931668
2023-03-27;14,423333
2023-03-28;16,562918
2023-03-29;17,20875
2023-03-30;15,277504
2023-03-31;14,235833
2023-04-01;11,4191675
2023-04-02;11,662918
2023-04-03;13,487916
2023-04-04;13,0858345
2023-04-05;15,0233345
2023-04-06;15,758748
2023-04-07;17,642082
2023-04-08;18,8275
2023-04-09;19,925417
2023-04-10;18,737917
2023-04-11;15,737918
2023-04-12;11,896252
2023-04-13;14,531667
2023-04-14;16,23375
2023-04-15;16,775417
2023-04-16;16,873335
2023-04-17;15,573333
2023-04-18;16,798334
2023-04-19;19,306665
2023-04-20;19,006666
2023-04-21;15,80875
2023-04-22;16,144167
2023-04-23;18,356667
2023-04-24;20,865
2023-04-25;21,506668
2023-04-26;22,894167
2023-04-27;24,062918
2023-04-28;21,860834
2023-04-29;19,381666
2023-04-30;19,294167
2023-05-01;20,881666
2023-05-02;22,32125
2023-05-03;20,225418
2023-05-04;19,644165
2023-05-05;19,94625
2023-05-06;21,037916
2023-05-07;21,885834
2023-05-08;22,660835
2023-05-09;18,846249
2023-05-10;16,452501
2023-05-11;13,965
2023-05-12;14,285835
2023-05-13;15,344167
2023-05-14;15,348331
2023-05-15;15,827503
2023-05-16;15,752499
2023-05-17;15,415
2023-05-18;15,104584
2023-05-19;14,994167
2023-05-20;16,010834
2023-05-21;17,637917
2023-05-22;16,70875
2023-05-23;17,133749
2023-05-24;17,133749
2023-05-25;15,704583
2023-05-26;15,810832
2023-05-27;15,871253
2023-05-28;16,285835
2023-05-29;16,156666
2023-05-30;17,242083
2023-05-31;17,071253
2023-06-01;16,1525
2023-06-02;17,8275
2023-06-03;18,523336
2023-06-04;19,125418
2023-06-05;20,72333
2023-06-06;18,296251
2023-06-07;17,887917
2023-06-08;18,656668
2023-06-09;20,123335
2023-06-10;21,164999
2023-06-11;20,035833
2023-06-12;19,148333
2023-06-13;20,781668
2023-06-14;23,910835
2023-06-15;25,887917
2023-06-16;27,077497
2023-06-17;22,967085
2023-06-18;23,881666
2023-06-19;23,331665
2023-06-20;21,937918
2023-06-21;21,865
2023-06-22;25,402498
2023-06-23;27,310835
2023-06-24;30,039995
2023-06-25;30,277502
2023-06-26;29,34417
2023-06-27;28,962915
2023-06-28;28,098337
2023-06-29;23,06708
2023-06-30;25,181665
2023-07-01;27,0525
2023-07-02;28,400414
2023-07-03;27,9275
2023-07-04;26,62542
2023-07-05;27,364998
2023-07-06;26,646248
2023-07-07;26,600416
2023-07-08;27,060831
2023-07-09;30,01708
2023-07-10;31,110834
2023-07-11;27,606667
2023-07-12;28,108755
2023-07-13;29,215002
2023-07-14;26,55667
2023-07-15;26,419168
2023-07-16;29,46292
2023-07-17;32,435833
2023-07-18;31,987923
2023-07-19;29,306665
2023-07-20;26,448332
2023-07-21;25,940002
2023-07-22;27,93167
2023-07-23;26,64625
2023-07-24;24,654585
2023-07-25;25,708754
2023-07-26;27,414999
2023-07-27;27,219168
2023-07-28;28,123335
2023-07-29;29,404581
2023-07-30;30,021254
2023-07-31;29,362923
2023-08-01;28,967081
2023-08-02;26,456667
2023-08-03;22,0025
2023-08-04;24,47125
2023-08-05;27,681665
2023-08-06;27,47333
2023-08-07;30,18167
2023-08-08;32,008747
